Fiscal Year 2014,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,CW-1,CW-2,D,E-1,E-2,E-2C,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,T-6,U-1,U-2,U-3,U-4,U-5,Total Visas,BCC,Grand Total
"Korea, North",0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,59
"Korea, South",219,"2,673",0,181,"6,091",40,0,0,11,"2,644",0,68,256,113,0,230,"1,766",37,0,9,0,"29,324","3,143",0,56,93,0,254,0,"2,727",0,0,0,19,142,"1,499",274,"9,613","4,806",313,8,0,0,"1,908","2,808",454,43,0,0,0,0,0,0,0,0,0,0,284,65,105,372,0,45,16,0,264,183,0,0,0,0,40,0,0,0,0,0,0,2,1,1,0,0,"73,200",0,"73,200"
Kuwait,29,445,0,3,"29,630",3,0,0,4,1,0,2,0,0,104,0,0,0,0,0,0,"4,278",481,0,30,17,0,13,0,8,0,0,0,0,7,3,10,111,53,3,0,0,0,2,4,9,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"35,257",0,"35,257"
Laos,26,112,0,3,"1,632",4,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,74,4,0,28,69,0,13,1,2,0,0,0,0,0,2,0,54,0,517,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,611",0,"2,611"
Lebanon,13,508,16,51,"25,936",75,0,0,16,168,0,0,0,0,25,1,1,0,0,1,0,611,28,0,2,55,0,77,0,227,0,0,0,0,3,63,35,574,52,180,2,7,0,70,41,12,1,0,0,0,0,0,0,0,0,0,0,24,16,4,17,0,57,0,0,5,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"28,983",0,"28,983"
Macau S.A.R.,0,0,0,0,"2,809",0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,230,3,0,0,0,0,0,0,17,0,0,0,0,0,4,1,48,0,4,1,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,131",0,"3,131"
Malaysia,143,750,9,"2,320","37,496",101,0,0,55,"1,651",0,22,0,0,1,1,12,0,0,5,0,"2,366",93,0,47,88,0,84,3,443,0,0,0,0,134,128,75,"1,013",84,73,6,1,0,624,311,31,2,0,0,0,0,0,0,0,0,0,0,20,9,6,4,0,18,0,0,16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"48,247",0,"48,247"
Maldives,1,53,0,1,124,0,0,0,0,42,0,4,0,0,0,0,0,0,0,0,0,7,4,0,2,27,0,1,0,1,0,0,0,0,0,0,0,10,1,1,0,0,0,0,0,99,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,380
Mongolia,35,228,5,32,"7,421",3,0,0,34,0,0,4,2,0,6,0,8,0,0,0,0,944,172,0,8,105,0,45,0,24,0,0,0,0,0,7,30,590,68,21,4,0,0,3,9,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,34,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,"9,898",0,"9,898"
Nepal,11,222,6,75,"10,181",27,0,0,56,224,0,39,17,6,3,0,1,0,0,1,0,"2,132",231,0,29,99,0,296,6,585,0,0,3,0,1,279,16,296,80,86,1,3,0,40,30,44,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,16,1,0,18,7,0,0,0,0,1,0,0,2,0,0,0,0,2,2,1,0,"15,180",0,"15,180"
Oman,50,665,3,3,"2,443","1,771",0,0,0,96,0,0,0,0,2,0,0,0,0,0,0,989,153,0,26,76,0,1,0,2,0,0,0,0,18,1,1,72,33,1,0,0,0,16,28,48,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,503",0,"6,503"
Pakistan,124,"1,283",20,134,"53,549",217,0,0,15,894,0,13,0,0,13,6,52,0,0,9,0,"1,575",204,0,120,77,0,387,7,670,0,0,0,0,5,730,67,"2,076",391,519,14,15,0,161,259,23,0,0,0,0,0,0,0,0,0,0,0,15,0,20,10,0,179,2,0,17,16,0,0,0,0,51,0,0,0,0,0,0,0,2,4,1,2,"63,948",0,"63,948"
Palestinian Authority Travel Document,0,2,0,93,"5,613",52,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,371,31,0,0,0,0,15,0,18,0,0,0,0,0,13,3,227,27,53,0,2,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"6,534",0,"6,534"
Philippines,110,"1,666",278,"7,674","81,371",701,0,0,"1,197","63,384",0,130,"1,383",295,32,4,122,4,0,0,0,802,37,0,161,83,0,428,133,"1,700",0,0,3,889,20,"1,446",72,"4,876",90,"7,228","1,254",35,8,667,543,43,1,0,0,1,0,0,0,0,0,2,0,65,216,11,47,0,29,1,0,224,109,0,0,0,0,9,0,45,141,0,0,0,0,1,6,0,0,"179,777",0,"179,777"
Qatar,62,683,3,3,"8,892",5,0,0,1,22,0,0,0,0,1,0,0,0,0,0,0,"1,049",56,0,4,45,0,1,0,1,0,0,0,0,0,1,4,41,7,0,0,0,0,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,896",0,"10,896"
Saudi Arabia,485,"7,754",93,168,"88,735",39,0,0,2,0,0,0,0,0,769,0,0,0,0,0,0,"32,006","9,381",0,91,109,0,65,0,51,0,0,0,0,53,103,7,958,640,4,0,0,0,143,374,125,17,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"142,180",0,"142,180"
Singapore,40,"2,776",0,96,490,40,0,0,0,"1,579",0,23,1,0,0,1,47,0,0,8,0,"2,360",102,0,21,31,0,33,0,348,472,0,0,1,72,234,18,889,104,53,8,0,0,292,301,91,0,0,0,0,0,0,0,0,0,0,0,26,13,7,11,1,2,2,59,9,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"10,674",0,"10,674"
Sri Lanka,29,236,14,110,"8,906",26,0,0,122,"1,109",0,0,1,1,3,0,7,0,0,3,0,825,127,0,51,124,0,80,14,234,0,0,0,0,3,125,4,188,58,25,1,0,0,73,101,71,1,0,0,0,0,0,0,0,0,0,0,4,0,1,6,0,38,0,0,22,0,0,0,0,0,7,0,0,0,0,0,0,0,4,6,0,0,"12,760",0,"12,760"
Syria,1,4,17,268,"9,338","1,535",0,0,17,74,0,0,0,0,7,0,0,0,0,2,0,582,76,0,50,6,0,47,0,40,0,0,0,0,0,68,14,132,48,211,11,1,1,25,38,10,2,0,0,0,0,0,0,0,0,0,0,3,1,1,5,0,26,0,0,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"12,671",0,"12,671"
Thailand,53,"1,014",11,529,"42,780",19,0,0,109,"2,689",0,35,13,2,3,30,427,2,0,1,0,"5,219",51,0,11,167,1,43,4,245,0,0,15,3,14,64,89,"10,307",95,717,77,4,0,136,78,59,0,0,0,1,0,0,0,0,1,0,0,28,25,7,22,0,25,1,3,83,6,0,0,0,0,4,0,10,30,0,0,0,1,0,0,0,0,"65,363",0,"65,363"
Timor-Leste,4,51,0,5,29,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,28,0,3,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,169
United Arab Emirates,77,960,0,11,"19,037",4,0,0,0,0,0,2,0,0,155,0,0,0,0,0,0,"1,279",135,0,10,34,0,4,0,1,0,0,0,0,15,6,2,93,37,0,0,0,0,7,8,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21,941",0,"21,941"
Vietnam,228,645,0,58,"67,140",466,0,0,144,706,0,37,1,0,24,1,3,0,0,2,0,"14,674",148,0,57,166,0,235,8,426,0,0,0,0,10,162,35,"1,207",199,"1,521",218,3,1,161,145,202,0,0,0,0,0,0,0,0,0,0,0,11,8,3,2,0,65,0,0,181,4,0,0,0,0,6,0,12,20,0,0,0,1,0,0,0,0,"89,346",0,"89,346"
Yemen,28,296,21,77,"3,870",7,0,0,1,37,0,1,0,0,1,0,0,0,0,0,0,815,194,0,56,94,0,73,0,2,0,0,0,0,2,3,7,174,15,24,0,15,7,1,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,842",0,"5,842"
